nome_distrito;tem_drenagem;qt_trechos_drenagem;extensao_total_m;id;regiao;lat;long
RIO PEQUENO;1;163;34947.96;8583410;Oeste;320.489.776.956.002;739.214.052.802.496
CIDADE TIRADENTES;1;353;65283.93;8583465;Leste;3.570.551.157.651.610;7.391.041.247.520.010
JARDIM SAO LUIS;1;264;72889.32;8583484;Sul;3.226.313.277.994.620;7.380.039.151.060.610
PONTE RASA;1;138;24828.32;8583407;Leste;34.749.584.363.730.200;7.398.600.328.842.570
LIBERDADE;1;39;14116.61;8583488;Centro;3.334.457.681.914.020;7.392.767.705.422.880
VILA PRUDENTE;1;71;30875.58;8583437;Leste;33.952.055.966.530.700;7.390.006.832.400.930
CACHOEIRINHA;1;246;58356.0;8583453;Norte;3.302.250.211.615.890;7.405.201.019.673.220
SAO LUCAS;1;69;28465.24;8583416;Leste;34.249.921.281.786.300;7.389.797.584.328.570
CAMBUCI;1;23;15264.11;8583454;Centro;33.497.428.854.558.800;7.393.069.410.317.930
VILA MARIA;1;41;20008.5;8583433;Norte;3.389.095.863.443.350;7.398.800.424.016.290
ALTO DE PINHEIROS;1;45;16214.21;8583442;Oeste;3.252.540.576.136.480;7.394.814.330.530.860
CURSINO;1;144;33962.66;8583467;Sul;3.346.766.709.311.510;7.385.666.624.723.870
SAO MIGUEL;1;116;25405.17;8583418;Leste;3.528.848.139.547.700;7.400.271.715.133.390
VILA SONIA;1;141;30119.46;8583440;Oeste;3.225.391.505.932.470;7.389.041.817.835.150
SAUDE;1;96;32675.66;8583421;Sul;3.325.752.425.286.000;7.387.479.139.485.400
PARQUE DO CARMO;1;269;52952.25;8583400;Leste;3.507.043.680.267.270;7.391.955.101.156.900
JACANA;1;88;27061.29;8583478;Norte;3.391.387.097.751.160;7.404.439.349.192.790
LIMAO;1;51;19248.51;8583489;Norte;32.885.645.754.189.600;7.400.405.804.656.740
ITAIM PAULISTA;1;269;47780.15;8583475;Leste;3.584.475.447.940.220;7.400.070.844.705.580
PEDREIRA;1;270;63297.19;8583401;Sul;33.179.634.241.857.900;7.377.244.804.531.440
MANDAQUI;1;195;50522.27;8583394;Norte;33.240.195.628.049.200;7.404.660.407.615.870
AGUA RASA;1;49;22054.06;8583441;Leste;3.395.779.571.254.850;7.392.849.151.880.050
SAO DOMINGOS;1;126;35334.22;8583415;Norte;3.215.781.639.157.610;7.400.767.031.243.590
JARAGUA;1;438;87876.75;8583481;Norte;3.222.772.929.465.020;7.406.061.125.717.960
BELEM;1;4;5740.55;8583448;Leste;3.371.999.405.014.280;7.396.060.694.741.470
CAPAO REDONDO;1;237;49947.58;8583459;Sul;31.842.160.022.973.500;7.381.311.587.987.930
SANTANA;1;82;32190.62;8583413;Norte;33.352.306.431.550.700;7.400.182.804.748.380
MOEMA;1;35;26172.53;8583396;Sul;33.048.130.206.190.800;7.389.504.230.113.800
IGUATEMI;1;484;85372.41;8583472;Leste;3.544.405.370.898.780;7.387.940.232.239.650
ITAQUERA;1;171;40978.56;8583476;Leste;3.513.752.305.940.800;7.396.608.298.967.920
LAJEADO;1;185;33338.48;8583486;Leste;3.562.051.872.560.850;7.396.699.633.373.030
CAMPO GRANDE;1;108;34376.05;8583456;Sul;32.791.508.022.496.100;7.380.781.582.624.240
JAGUARA;1;24;11757.5;8583479;Oeste;3.216.132.420.806.050;7.398.821.921.116.260
JOSE BONIFACIO;1;202;46582.39;8583485;Leste;3.537.889.290.217.630;7.392.937.023.199.550
CANGAIBA;1;133;34724.02;8583458;Leste;34.491.990.384.096.200;74.004.303.749.788
MORUMBI;1;78;33910.57;8583398;Oeste;3.257.199.165.228.200;7.389.425.311.928.950
TREMEMBE;1;1024;221638.72;8583425;Norte;3.376.263.887.922.700;7.409.370.350.777.020
CIDADE DUTRA;1;293;78188.39;8583463;Sul;3.264.649.554.581.230;7.375.097.165.670.600
BUTANTA;1;110;32845.46;8583452;Oeste;32.382.289.495.478.500;7.392.295.955.788.970
PARELHEIROS;1;4448;681388.48;8583439;Sul;3.251.866.628.956.630;7.363.524.150.474.990
SAO RAFAEL;1;262;47722.44;8583419;Leste;3.516.855.216.558.540;7.386.180.776.913.020
REPUBLICA;1;9;11921.67;8583409;Centro;33.248.934.861.558.500;739.521.452.241.991
GUAIANASES;1;215;34543.56;8583471;Leste;3.564.353.305.224.640;7.394.183.352.119.530
TATUAPE;1;21;20260.5;8583424;Leste;33.999.607.994.957.400;7.395.972.181.061.080
VILA FORMOSA;1;40;17935.45;8583429;Leste;34.222.176.623.097.100;7.392.765.006.165.470
PENHA;1;143;39426.21;8583402;Leste;3.438.996.665.582.400;7.397.728.523.437.260
